full_title,society_name,rent,area_sqft,furnishing,apartment_type,preferred_tenants,link
2 BHK Apartment In Panchsheel Greens 2 for Rent  In Sector 16b,Panchsheel Greens 2,17000,1100,,2 BHK,Female,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16b-greater_noida-for-rs-17000/8a9ff082861be1d801861c88eec60424/detail
3 BHK Apartment In Panchsheel Hynish for Rent  In Panchsheel Hynish,Panchsheel hynish,20000,1440,,3 BHK,Female,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-panchsheel-hynish-greater_noida-for-rs-20000/8a9f8cc38cae335e018cae8460e412cc/detail
2 BHK Apartment In Gaur City for Rent  In Sector 4 Single Sharing Room,Gaur City,8500,1050,,2 BHK,Female,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-4-single-sharing-room-greater_noida-for-rs-8500/8a9f87038cc8d1dc018cc900073d24b1/detail
"3 BHK Apartment In Vihaan Greens, Sector 1 for Rent  In Sector 1","Vihaan Greens, Sector 1",6200,1600,,3 BHK,Female,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-1-noida-for-rs-6200/8a9f82029c2e54c2019c2e7e14220644/detail
1 BHK Apartment In Oasis Venetia Heights for Rent  In Surajpur,Oasis Venetia Heights,6500,950,,1 BHK,Female,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-surajpur-greater_noida-for-rs-6500/8aa9b3679b11ccfb019b11d9644302f4/detail
3 BHK Apartment In Kendriy Vihar P4 Greater Noida for Rent  In Kendriya Vihar,Kendriy Vihar P4 Greater Noida,10000,1500,,3 BHK,Female,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kendriya-vihar-greater_noida-for-rs-10000/8aa997cd9bddf83f019bde7ff02a0979/detail
2 BHK Apartment In Migsun Twiinz for Rent  In Eta Ii,Migsun Twiinz,20000,697,,2 BHK,Female,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-eta-ii-greater_noida-for-rs-20000/8aa9ae569be63b00019be682caf210b1/detail
3 BHK Flat In Migsun Wynn for Rent  In Eta Ii,,8000,995,,3 BHK,Female,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-eta-ii-greater_noida-for-rs-8000/8a9ff68389fd68e20189fdb9f5a845ac/detail
3 BHK Apartment In Apex Splendour for Rent  In Tech Zone Iv,Apex Splendour,22000,1320,,3 BHK,Female,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-tech-zone-iv-greater_noida-for-rs-22000/8a9f848498f95c400198f980877501c8/detail
3 BHK Apartment In Arihant Abode  for Rent  In Block K,Arihant Abode,20000,1055,,3 BHK,Female,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-block-k-greater_noida-for-rs-20000/8a9f8b8493baa2740193baf3f8a9198e/detail
2 BHK Flat In 16th Parkview Gaur Yamuna City for Rent  In Gaur Yamuna City,,16000,1115,,2 BHK,Female,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-gaur-yamuna-city-greater_noida-for-rs-16000/8a9f9a838bf23bee018bf29eb7872d8d/detail
2 BHK Apartment In Rudransh Bella Vista for Rent  In Bisrakh Jalalpur,Rudransh Bella Vista,13000,1050,,2 BHK,"Family, Bachelor",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bisrakh-jalalpur-greater_noida-for-rs-13000/8aa9b38d9c240778019c244a83461248/detail
2 BHK Flat In Standalone Building  for Rent  In Sector Beta I,,8000,800,Fully Furnished,2 BHK,Bachelor,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-beta-i-greater_noida-for-rs-8000/8a9fa5838ee694af018ee6deb6f223ba/detail
"2 BHK Apartment In Blydan Orchid Residency for Rent  In 11, Sector 1, Aimnabad, Bisrakh Jalalpur, Greater Noida, Bisrakh Jalalpur, Uttar Pradesh 201318, India",Blydan Orchid Residency,18000,1020,,2 BHK,"Family, Bachelor",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-11-sector-1-aimnabad-bisrakh-jalalpur-greater-noida-bisrakh-jalalpur-uttar-pradesh-201318-india-greater_noida-for-rs-18000/8aa9939d9c41898d019c42dad63817aa/detail
2 BHK Apartment In Ajnara Homes for Rent  In ****** ***,Ajnara Homes,22000,920,Fully Furnished,2 BHK,Bachelor,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-******-***-noida-for-rs-22000/8a9f91c39abdb024019abdd7c193016f/detail
1 RK Apartment In Radicon Vedantam for Rent  In Gaur City 2,Radicon Vedantam,9000,250,Fully Furnished,1 RK,Bachelor,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-gaur-city-2-ghaziabad-for-rs-9000/8a9f82c29c61d451019c63332b771d6f/detail
2 BHK Flat In Supertech Ecovillage I for Rent  In Jalalpur,,20000,1106,Fully Furnished,2 BHK,Bachelor,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-jalalpur-greater_noida-for-rs-20000/8a9f95438f682ef5018f683bf3d70304/detail
2 BHK Flat In Arihant Ambar for Rent  In Sector 1,,35000,1050,Fully Furnished,2 BHK,Bachelor,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-35000/8aa9a9669c5786e9019c580e1344201b/detail
1 BHK Flat In Habitech Spectrum  for Rent  In Techzone 4,,20000,580,Fully Furnished,1 BHK,Bachelor,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-techzone-4-greater_noida-for-rs-20000/8a9fbe3b816f2ee901816fd882a427bf/detail
"1 RK Apartment In Amrapali O2 Valley, Noida Extension for Rent  In Noida Extension","Amrapali O2 Valley, Noida Extension",14000,250,Fully Furnished,1 RK,Bachelor,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-noida-extension-noida-for-rs-14000/8a9f91829b447ce0019b44f4872119c0/detail
1 RK Flat for Rent  In Sector Alpha Ii,,14000,200,Fully Furnished,1 RK,Bachelor,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-sector-alpha-ii-greater_noida-for-rs-14000/8a9fb7839a57faed019a5801698e0159/detail
"1 RK Flat for Rent  In Pi I & Ii,",,8000,300,Fully Furnished,1 RK,Bachelor,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-pi-i-%26-ii--greater_noida-for-rs-8000/8aa98e6a9c1c4dca019c1d556e646b79/detail
