full_title,society_name,rent,area_sqft,apartment_type,preferred_tenants,link,Locality
"2 BHK Apartment In Avj Platinum, Gn Sector Zeta I for Rent  In Gn Sector Zeta I","AVJ Platinum, GN Sector Zeta I",30000,1050,2,"Family, Male, Company",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-gn-sector-zeta-i-greater_noida-for-rs-30000/8aa988a59c028df9019c033ecd103af0/detail,Zeta I
"3 BHK Apartment In Amrapali Terrace Homes for Rent  In Plot No. Gh 05, Sector Tech Zone 4, Amrapali Dream Valley, Greater Noida, Uttar Pradesh 201318, India",Amrapali Terrace Homes,20000,990,3,"Family, Male",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-plot-no--gh-05-sector-tech-zone-4-amrapali-dream-valley-greater-noida-uttar-pradesh-201318-india-greater_noida-for-rs-20000/8a9fa983963d6a0801963d981a0f11d7/detail,Tech Zone
2 BHK Apartment In  Himalaya Pride for Rent  In Noida Extension,Himalaya Pride,22000,1000,2,Bachelor,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-noida-extension--noida-for-rs-22000/8aa9b07a9c405a7b019c40f4f32c3399/detail,Noida Extension
1 RK Apartment In Tenth Avenue for Rent  In Gaur City 2,tenth Avenue,7000,120,1,Bachelor,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-gaur-city-2-greater_noida-for-rs-7000/8a9fa48794a2be6b0194a2d35afa06b6/detail,Gaur City 2
1 RK Apartment In Gnida Flats for Rent  In Omicron 1a,GNIDA Flats,7000,80,1,Bachelor,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-omicron-1a-greater_noida-for-rs-7000/8a9f919376412b96017641658d1d2045/detail,Omicron
2 BHK Apartment In Migsun Vilaasa for Rent  In Eta Ii,Migsun Vilaasa,32000,1925,2,Bachelor,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-eta-ii-greater_noida-for-rs-32000/8aa984bd9b2a42df019b2a995480128d/detail,Eta Ii
1 RK Apartment In  Bsf Housing Society  for Rent  In Pi,BSF housing society,4000,144,1,Bachelor,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-pi-greater_noida-for-rs-4000/8a9fd3e0832ca50001832cc2233b1296/detail,Pi
2 BHK Apartment In Supertech Up Country Grand Circuit for Rent  In Sector 17,Supertech Up Country Grand Circuit,17000,900,2,Bachelor,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-17-noida-for-rs-17000/8aa9b7b89b34fd33019b3581591b359d/detail,Sector 17
1 RK Apartment In Sarvottam Nx One for Rent  In  Tech Zone 4,Sarvottam NX One,20000,600,1,Bachelor,https://www.nobroker.in/property/1-rk-apartment-for-rent-in--tech-zone-4-greater_noida-for-rs-20000/8a9fa183954af0ca01954b10709d08f8/detail,Tech Zone
2 BHK Apartment In The Romano (phase-ii) for Rent  In Sector 118,THE ROMANO &#40;PHASE-II&#41;,26000,1360,2,Bachelor,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-118-noida-for-rs-26000/8a9f91c29bab02cc019bab199d050195/detail,Sector 118
"2 BHK Apartment In Panchsheel Greens, Sector 16b for Rent  In Sector 16b","Panchsheel Greens, Sector 16B",25000,1105,2,"Family, Female, Company",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16b-greater_noida-for-rs-25000/8a9faada94301fe901943085177d2fa2/detail,Sector 16b
1 BHK Apartment In Stellar Mi Citihomes for Rent  In Omicron Iii,Stellar Mi Citihomes,17500,529,1,All,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-omicron-iii-greater_noida-for-rs-17500/8a9f8803931ae50d01931b184b361204/detail,Omicron Iii
"2 BHK Apartment In Habitech Panchtatva, Noida Extension for Rent  In Noida Extension","Habitech Panchtatva, Noida Extension",25000,1195,2,"Family, Bachelor",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-noida-extension-noida-for-rs-25000/8aa9a04f9c3b33e8019c3c09eb2a568a/detail,Noida Extension
"3 BHK Apartment In Panchsheel Greens 2, Sector 16b for Rent  In Sector 16b","Panchsheel Greens 2, Sector 16B",26000,1480,3,"Family, Male, Company",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-16b-greater_noida-for-rs-26000/8aa9b5269bb02829019bb0aea93f268f/detail,Sector 16b
